Iteration 10, Epoch 2, Loss: 7.689548160376132
Iteration 10, Epoch 3, Loss: 7.689548160376132
Iteration 10, Epoch 4, Loss: 7.689548160376132
Iteration 10, Epoch 5, Loss: 7.689548160376132
Iteration 10, Epoch 6, Loss: 7.689548160376132
Iteration 10, Epoch 7, Loss: 7.689548160376132
Iteration 10, Epoch 8, Loss: 7.689548160376132
Iteration 10, Epoch 9, Loss: 7.689548160376132
Iteration 10, Epoch 10, Loss: 7.689548160376134
Iteration 10, Epoch 11, Loss: 7.689548160376132
Iteration 11, Epoch 1, Loss: 11.118134386786902
Iteration 11, Epoch 2, Loss: 11.118134386786902
Iteration 11, Epoch 3, Loss: 11.118134386786902
Iteration 11, Epoch 4, Loss: 11.118134386786902
Iteration 11, Epoch 5, Loss: 11.118134386786902
Iteration 11, Epoch 6, Loss: 11.118134386786902
Iteration 11, Epoch 7, Loss: 11.118134386786902
Iteration 11, Epoch 8, Loss: 11.118134386786902
Iteration 11, Epoch 9, Loss: 11.118134386786902
Iteration 11, Epoch 10, Loss: 11.118134386786902
Iteration 11, Epoch 11, Loss: 11.118134386786902
Iteration 12, Epoch 1, Loss: 8.561799104058334
Iteration 12, Epoch 2, Loss: 8.561799104058334
Iteration 12, Epoch 3, Loss: 8.561799104058334
Iteration 12, Epoch 4, Loss: 8.561799104058334
Iteration 12, Epoch 5, Loss: 8.561799104058334
Iteration 12, Epoch 6, Loss: 8.561799104058334
Iteration 12, Epoch 7, Loss: 8.561799104058336
Iteration 12, Epoch 8, Loss: 8.561799104058334
Iteration 12, Epoch 9, Loss: 8.561799104058334
Iteration 12, Epoch 10, Loss: 8.561799104058334
Iteration 12, Epoch 11, Loss: 8.561799104058334
Iteration 13, Epoch 1, Loss: 11.627133961758357
Iteration 13, Epoch 2, Loss: 11.627133961758355
Iteration 13, Epoch 3, Loss: 11.627133961758357
Iteration 13, Epoch 4, Loss: 11.627133961758355
Iteration 13, Epoch 5, Loss: 11.627133961758357
Iteration 13, Epoch 6, Loss: 11.627133961758357
Iteration 13, Epoch 7, Loss: 11.627133961758355
Iteration 13, Epoch 8, Loss: 11.627133961758355
Iteration 13, Epoch 9, Loss: 11.627133961758357
Iteration 13, Epoch 10, Loss: 11.627133961758357
Iteration 13, Epoch 11, Loss: 11.627133961758357
Iteration 13, Epoch 12, Loss: 11.627133961758357
Iteration 14, Epoch 1, Loss: 8.522510610455546
Iteration 14, Epoch 2, Loss: 8.522510610455546
Iteration 14, Epoch 3, Loss: 8.522510610455546
Iteration 14, Epoch 4, Loss: 8.522510610455546
Iteration 14, Epoch 5, Loss: 8.522510610455544
Iteration 14, Epoch 6, Loss: 8.522510610455546
Iteration 14, Epoch 7, Loss: 8.522510610455546
